payee_first_name,payee_last_name,payee_payment_status,payee_added_date_utc,payee_due_date,payee_address_line_1,payee_address_line_2,payee_city,payee_country,payee_province_or_state,payee_postal_code,payee_phone_number,payee_email,currency,discount_percent,tax_percent,due_amount
Andrea,Mendoza,overdue,1679356800,2024-11-27,9515 Harris Junctions,Apt. 998,East Jacqueline,CA,South Carolina,19147,+12462387787,bjackson@singh.com,USD,15.49,7.25,129.07
Nicholas,Palmer,overdue,1713571200,2024-11-29,719 Kristy Dale Apt. 463,Suite 870,East William,DJ,Texas,81291,+17377353620,roybennett@hotmail.com,USD,22.79,7.25,1425.62
Kevin,Hall,pending,1684972800,2024-12-25,66752 Alvarez Haven,Apt. 714,West Donnastad,BT,South Carolina,1514,+13226599501,pamela11@yahoo.com,USD,8.63,7.25,4850.47
Donald,Miller,overdue,1679961600,2024-11-08,689 Victor Estates Suite 682,Suite 704,North Jose,BJ,Arkansas,68960,+18365793490,carlos23@palmer-ross.com,USD,16.04,7.25,791.01
Douglas,Zimmerman,pending,1679702400,2024-12-11,089 Nash Spurs,Apt. 509,East Kathryn,BI,Rhode Island,66764,+14427328264,brian22@gmail.com,USD,21.6,7.25,2330.71
Brandy,Riley,pending,1728000000,2024-12-27,694 Daugherty Plains,Apt. 159,Harriston,PS,Georgia,25694,+12311318904,nandersen@yahoo.com,USD,27.9,7.25,4662.86
James,Branch,overdue,1716854400,2024-11-16,918 Jennifer Shore Apt. 200,Apt. 137,Brettberg,FI,North Dakota,20155,+17573011716,asnow@hotmail.com,USD,29.38,7.25,3626.18
Alexandria,Evans,pending,1691366400,2024-12-07,04855 Smith View,Apt. 453,Loganberg,VE,Wyoming,13984,+13423507941,rebecca81@yahoo.com,USD,22.04,7.25,1637.86
Peter,Brooks,pending,1702166400,2024-12-20,6491 Gregory Alley,Suite 086,Cruzberg,TD,Alaska,53644,+19611535745,vmiller@white-nelson.com,USD,5.73,7.25,4527.52
Eugene,Cruz,overdue,1686787200,2024-11-08,10164 Cobb Parkway Suite 283,Apt. 213,Sandraview,TD,Maine,73220,+17291910546,iwright@gmail.com,USD,19.97,7.25,2689.93
Jeffrey,Rios,overdue,1690243200,2024-11-13,72143 Adrian Manor,Apt. 865,Lisaburgh,AL,Arizona,86520,+12202617244,larsonrichard@jones.info,USD,20.5,7.25,886.05
Arthur,Beck,overdue,1723939200,2024-11-19,7986 Jones Drive,Suite 529,New Michaelstad,AR,New Hampshire,63713,+15275934242,bgreer@gmail.com,USD,23.13,7.25,1446.17
Deborah,Johnson,overdue,1729814400,2024-11-18,23486 Parker Bypass Suite 161,Apt. 121,Sierrabury,NZ,Kentucky,30756,+14535929974,daniel54@gmail.com,USD,29.49,7.25,2426.65
Charles,Francis,overdue,1688083200,2024-11-16,1474 Ryan Skyway,Apt. 127,Lake Caitlyn,FR,Maine,92207,+13562959599,turnerallen@yahoo.com,USD,15.55,7.25,3189.47
Stephanie,Welch,overdue,1685318400,2024-11-03,6884 Taylor Falls,Suite 427,New Brandon,GT,Minnesota,70795,+18057116391,erik79@james-banks.com,USD,19.64,7.25,2843.09
Vincent,Greene,overdue,1675036800,2024-11-25,60549 Meadows Shoal,Apt. 709,Heidifurt,FI,Iowa,29245,+15781543710,delgadoann@hotmail.com,USD,6.23,7.25,3198.55
Kathleen,Hurley,pending,1687824000,2024-12-10,1084 Timothy Heights,Suite 998,New Jason,BI,Hawaii,83947,+17702657809,bennettwalter@gmail.com,USD,19.41,7.25,1587.79
Lisa,Harris,overdue,1724889600,2024-11-18,586 Bond Locks Suite 645,Suite 173,Lake Laurenview,ZM,New Jersey,3909,+17822212472,shortchristina@gardner-lewis.biz,USD,21.11,7.25,873.83
Brad,Thomas,pending,1681430400,2024-12-15,81377 Sabrina Rapids Apt. 364,Apt. 879,Feliciaborough,BR,New York,53313,+16529286726,barnesjacob@hickman-romero.net,USD,21.72,7.25,1817.84
Charlene,Rhodes,pending,1693785600,2024-12-06,259 Erica Squares Apt. 141,Apt. 222,New Michaelfort,PA,Kentucky,94693,+11622038713,ricky66@lewis.net,USD,24.08,7.25,349.55
Michael,Guerrero,overdue,1681776000,2024-11-09,061 Adkins Tunnel Suite 926,Suite 770,Nathanmouth,ZW,New York,85151,+16667886951,barnesbrenda@hotmail.com,USD,13.09,7.25,1387.63
Dawn,Warren,pending,1721520000,2024-12-16,412 Moore Stream Suite 460,Suite 316,East Johnberg,ZA,New York,64000,+15323951965,maria71@curtis.com,USD,22.26,7.25,4371.46
Kirsten,Conner,overdue,1731974400,2024-11-06,70738 Dixon Hill,Suite 196,Johnview,KM,Maine,63035,+14405476951,nathaniel99@bennett-jefferson.com,USD,23.07,7.25,2350.09
Jessica,Rivera,overdue,1693094400,2024-11-15,80932 Gross Loop Suite 704,Suite 078,Lake Robertton,IE,North Carolina,45291,+18473203632,qsavage@yahoo.com,USD,9.9,7.25,2957.6
Heather,Williams,overdue,1695168000,2024-11-10,1390 Marcus Expressway,Apt. 777,North Carolynshire,EG,Maryland,90110,+17948380536,jmiller@yahoo.com,USD,20.01,7.25,4973.2
